review_id,review_comment,true_sentiment,cleaned_text,vader_score,vader_sentiment,fasttext_line
285,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
286,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
287,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
288,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
289,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
290,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
291,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
292,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
293,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
294,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
295,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
296,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
297,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
298,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
299,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
300,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
301,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
302,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
303,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
304,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
305,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
306,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
307,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
308,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
309,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
310,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
311,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
312,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
313,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
314,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
315,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
316,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
317,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
318,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
319,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
320,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
321,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
322,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
323,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
324,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
325,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
326,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
327,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
328,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
329,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
330,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
331,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
332,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
333,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
334,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
335,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
336,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
337,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
338,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
339,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
340,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
341,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
342,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
343,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
344,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
345,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
346,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
347,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
348,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
349,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
350,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
351,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
352,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
353,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
354,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
355,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
356,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
357,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
358,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
359,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
360,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
361,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
362,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
363,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
364,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
365,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
366,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
367,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
368,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
369,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
370,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
371,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
372,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
373,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
374,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
375,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
376,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
377,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
378,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
379,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
380,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
381,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
382,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
383,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
384,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
385,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
386,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
387,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
388,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
389,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
390,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
391,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
392,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
393,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
394,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
395,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
396,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
397,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
398,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
399,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
400,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
401,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
402,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
403,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
404,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
405,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
406,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
407,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
408,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
409,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
410,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
411,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
412,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
413,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
414,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
415,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
416,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
417,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
418,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
419,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
420,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
421,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
422,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
423,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
424,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
425,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
426,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
427,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
428,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
429,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
430,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
431,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
432,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
433,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
434,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
435,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
436,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
437,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
438,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
439,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
440,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
441,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
442,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
443,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
444,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
445,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
446,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
447,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
448,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
449,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
450,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
451,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
452,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
453,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
454,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
455,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
456,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
457,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
458,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
459,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
460,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
461,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
462,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
463,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
464,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
465,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
466,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
467,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
468,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
469,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
470,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
471,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
472,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
473,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
474,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
475,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
476,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
477,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
478,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
479,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
480,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
481,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
482,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
483,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
484,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
485,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
486,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
487,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
488,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
489,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
490,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
491,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
492,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
493,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
494,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
495,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
496,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
497,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
498,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
499,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
500,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
501,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
502,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
503,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
504,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
505,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
506,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
507,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
508,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
509,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
510,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
511,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
512,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
513,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
514,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
515,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
516,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
517,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
518,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
519,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
520,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
521,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
522,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
523,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
524,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
525,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
526,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
527,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
528,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
529,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
530,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
531,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
532,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
533,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
534,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
535,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
536,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
537,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
538,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
539,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
540,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
541,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
542,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
543,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
544,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
545,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
546,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
547,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
548,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
549,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
550,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
551,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
552,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
553,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
554,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
555,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
556,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
557,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
558,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
559,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
560,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
561,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
562,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
563,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
564,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
565,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
566,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
567,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
568,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
569,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
